id,author_id,possibly_sensitive,edit_history_tweet_ids,lang,source,reply_settings,text,created_at,hashtags_list,urls_list,public_metrics_retweet_count,public_metrics_reply_count,public_metrics_like_count,public_metrics_quote_count,next_token
1461396084119515147,2244994945,False,['1461396084119515147'],en,Twitter for Advertisers,everyone,"Your voice has value — and now we’re reflecting it and your $cashtag Tweets with the S&amp;P 500 Twitter Sentiment Index, a stock index powered by Twitter data. #YourVoiceYourIndex https://t.co/NP7klaXJWV",2021-11-18T18:09:12.000Z,['YourVoiceYourIndex'],['https://twitter.com/TwitterDev/status/1461396084119515147/video/1'],82,333,765,196,b26v89c19zqg8o3fpds79z08q5t2ayixudv3lq8u5xif1
1461395621005467658,2244994945,False,['1461395621005467658'],en,Twitter for Advertisers,everyone,"Your Tweet may be more than just a Tweet. Your conversation and $cashtags of the top S&amp;P 500 positively talked about companies now are reflected in the S&amp;P 500 Twitter Sentiment Index, powered by Twitter data. #YourVoiceYourIndex https://t.co/tGI2scKvQ2",2021-11-18T18:07:22.000Z,['YourVoiceYourIndex'],['https://twitter.com/TwitterDev/status/1461395621005467658/video/1'],37,116,401,74,b26v89c19zqg8o3fpds79z08q5t2ayixudv3lq8u5xif1
1461395347675271174,2244994945,False,['1461395347675271174'],en,Twitter for Advertisers,everyone,We’re giving you something to talk about: the S&amp;P 500 Twitter Sentiment Index — a stock index powered by Twitter data that measures conversations with $cashtags and positive sentiment to index the most positively talked about S&amp;P 500 companies. #YourVoiceYourIndex https://t.co/pLRxXUlopm,2021-11-18T18:06:16.000Z,['YourVoiceYourIndex'],['https://twitter.com/TwitterDev/status/1461395347675271174/video/1'],17,49,133,32,b26v89c19zqg8o3fpds79z08q5t2ayixudv3lq8u5xif1
1461381489115947010,2244994945,False,['1461381489115947010'],en,Twitter Web App,everyone,"There’s so much information in Tweets that @SPDJIndices built a stock index around them.

Introducing the S&amp;P 500 Twitter Sentiment Index, now measuring conversations &amp; $cashtags on the top positively talked about S&amp;P 500 companies. #YourVoiceYourIndex 👇

https://t.co/8aKDXpc94r https://t.co/jiIrBDQb2g",2021-11-18T17:11:12.000Z,['YourVoiceYourIndex'],"['https://developer.twitter.com/en/use-cases/build-for-businesses/sp-500-twitter-sentiment-index?ref=os-tw-7014w000001mxomAAA&utm_source=tw&utm_medium=os&utm_campaign=7014w000001mxomAAA&utm_content=launchpost', 'https://twitter.com/TwitterDev/status/1461381489115947010/video/1']",49,20,207,52,b26v89c19zqg8o3fpds79z08q5t2ayixudv3lq8u5xif1
1458109806464618501,2244994945,False,['1458109806464618501'],en,Twitter Web App,everyone,"📢 Join @DimitriDCE and @Medallia today at 10:45am PST to learn more about leveraging the #TwitterAPI for the real voice of the customer and to manage emerging customer issues👇
https://t.co/4SIaSzfBtR",2021-11-09T16:30:42.000Z,['TwitterAPI'],['https://engage.medallia.com/events/details/medallia-events-experience-analytics-presents-the-power-of-experience-analytics/'],4,2,23,0,b26v89c19zqg8o3fpds79z08q5t2ayixudv3lq8u5xif1
1456337866347343883,2244994945,False,['1456337866347343883'],en,Twitter Web App,everyone,"The year is beginning to wind down, but the Twitter API v2 continues to move forward like never before. 

Read on to catch up on the last couple months of progress on the #TwitterAPI 🧵
https://t.co/Xijy1fcZ64",2021-11-04T19:09:39.000Z,['TwitterAPI'],['https://twittercommunity.com/t/november-recap-of-the-the-twitter-api-v2/161585'],5,3,50,0,b26v89c19zqg8o3fpds79z08q5t2ayixudv3lq8u5xif1
1451609611455242241,2244994945,False,['1451609611455242241'],en,Twitter Web App,everyone,Join us on Friday October 29th at 2 pm ET for our next live stream on academic research using the #TwitterAPI. We are excited to host @dfreelon and Andrew Crist from @unc_citap to share how they use the Twitter API for research studies. We will be live on https://t.co/GrtBOXh5Y1 https://t.co/URtpGcU3ZK,2021-10-22T18:01:15.000Z,['TwitterAPI'],"['http://twitch.tv/twitterdev', 'https://twitter.com/TwitterDev/status/1451609611455242241/photo/1']",18,1,41,4,b26v89c19zqg8o3fpds79z08q5t2ayixudv3lq8u5xif1
1448329196229382145,2244994945,False,['1448329196229382145'],en,Twitter Web App,everyone,"Reminder 🚨

Join us tomorrow Oct 14th at 12 pm EST / 9 am PST for our live stream for academic research using the #TwitterAPI on https://t.co/GrtBOXh5Y1 https://t.co/3H64QyNCv1",2021-10-13T16:46:03.000Z,['TwitterAPI'],"['http://twitch.tv/twitterdev', 'https://twitter.com/TwitterDev/status/1445436032485244929']",9,2,25,2,b26v89c19zqg8o3fpds79z08q5t2ayixudv3lq8u5xif1
1445436032485244929,2244994945,False,['1445436032485244929'],en,Twitter Web App,everyone,"Our next live stream for academic research using the #TwitterAPI will be on Thursday Oct 14th 12pm EST/9 am PST on https://t.co/GrtBOXh5Y1

@suhemparack will host Megan Brown &amp; Rachel Connolly from @CSMaP_NYU to showcase how to use the Twitter API in Python &amp; R for research 📊 https://t.co/5sUPLJoTZf",2021-10-05T17:09:39.000Z,['TwitterAPI'],"['http://twitch.tv/twitterdev', 'https://twitter.com/TwitterDev/status/1445436032485244929/photo/1']",22,3,46,4,b26v89c19zqg8o3fpds79z08q5t2ayixudv3lq8u5xif1
1443269993676763138,2244994945,False,['1443269993676763138'],en,Twitter Web App,everyone,"Time to revamp your timeline with the #TwitterAPI v2! The new Lists endpoints allow you to customize, organize, and prioritize the Tweets you see in your timeline. Curate your experience based on group, topic, or interest. Learn more https://t.co/MQOAvDuYMW",2021-09-29T17:42:35.000Z,['TwitterAPI'],['https://twittercommunity.com/t/announcing-new-twitter-api-v2-lists-endpoints/159980/2'],24,9,59,11,b26v89c19zqg8o3fpds79z08q5t2ayixudv3lq8u5xif1
