created_at,lang,author_id,text,edit_history_tweet_ids,possibly_sensitive,source,id,reply_settings,hashtags_list,urls_list,public_metrics_retweet_count,public_metrics_reply_count,public_metrics_like_count,public_metrics_quote_count,next_token
2022-09-30T18:04:33.000Z,tr,919185985132466176,"8 aylık Bahar, 22 Eylül'den beri annesi Büşra Çulha ile Edirne Cezaevi'nde. Babası da tutuklu.

Bahar bebek, soğuk betonda emekliyor. Üç gündür ateşi 39 derece, annesi düşüremiyor. Sinekler yüzünü yemiş, yüzü kıpkırmızı. @adalet_bakanlik @gulecyuzk

BüşraÇulha VeBebeğineTahliye https://t.co/7yIDj5IvhD",['1575909478880665600'],False,Twitter for Android,1575909478880665600,everyone,[],['https://twitter.com/UyumluTris/status/1575909478880665600/photo/1'],399,5,415,5,
2022-09-29T20:25:43.000Z,tr,919185985132466176,"Bazı şeylerin üstesinden gelemeyeceğim hissine kapıldığımda;

Annemi defnettiklerinde üzerinin ne kadar hızlı örtüldüğünü anımsıyorum.

Hem en uzun gündü hem de gözümde canlandıramayacağım kadar kısa...",['1575582617629388800'],False,Twitter for Android,1575582617629388800,everyone,[],[],46,8,101,0,
2022-09-29T12:35:04.000Z,tr,919185985132466176,"Konuşan çok insan var da, inanmamız gereken çok az insan kaldı...",['1575464174842515456'],False,Twitter for Android,1575464174842515456,everyone,[],[],65,5,138,1,
2022-09-29T05:44:12.000Z,tr,919185985132466176,"RT @TarikToros: Şu twit'e Ümit Kıvanç, 'tamam da beni niye etiketlediniz' diye atar yapmıştı. Sonra 'nemelazım' deyip silmiş.. Mahallenin m…",['1575360776797315072'],False,Twitter for Android,1575360776797315072,everyone,[],[],193,0,0,0,
2022-09-27T18:00:06.000Z,tr,919185985132466176,"Köşe yazısından dolayı 7 yıldır tutuklu olan Gazeteci Gültekin Avcı:

""Huzurluyum. Özgür gazetecilik için ödediğim bedelden zerre pişmanlığım yok. Estergon Kalesi gibi bekliyorum. Surlarımda tek bir gedik yok."" @umit_k 

GerçekGazeteciler Susmaz https://t.co/hfgRtaF4V8",['1574821196545286145'],False,Twitter for Android,1574821196545286145,everyone,[],['https://twitter.com/UyumluTris/status/1574821196545286145/photo/1'],596,18,825,6,
2022-09-27T12:49:58.000Z,tr,919185985132466176,"Allah'a;

Güzel insanlarla olmak istiyorum diye dua edin...

Dua'nızın kabul olduğunu yanlış insanlar hayatınızdan çıkınca anlayacaksınız...",['1574743147917111296'],False,Twitter for Android,1574743147917111296,everyone,[],[],63,7,138,0,
2022-09-24T18:00:05.000Z,tr,919185985132466176,"22 aydır Silivri Cezaevi'nde tutuklu olan olan İbrahim Enes Gacar: 

""İnanın desteğinize çok ihtiyacım var. Buradan çıktığımda sizleri, halimden haberdar olmanıza rağmen hiçbir şey yapmamış insanlar olarak hatırlamak istemiyorum."" @adalet_bakanlik

EnesGacar 672GündürHapiste https://t.co/7N5scDByCy",['1573734027055570946'],False,Twitter for Android,1573734027055570946,everyone,[],['https://twitter.com/UyumluTris/status/1573734027055570946/photo/1'],928,10,1192,9,
2022-09-23T18:00:15.000Z,tr,919185985132466176,"ÜÇ KİŞİLİK AİLE ÜÇÜ DE CEZAEVİNDE!

Büşra ve Halil Emre Çulha çifti dün tutuklanarak Edirne Cezaevi'ne gönderildi. 8 aylık kızları Bahar annesiyle cezaevinde, demir parmaklıklar ardında. @adalet_bakanlik

8 aylık Bahar bebek tutuklandı, HaberinizVarMı @sgokbakar https://t.co/HCTuCwEweT",['1573371681778851840'],False,Twitter for Android,1573371681778851840,everyone,[],['https://twitter.com/UyumluTris/status/1573371681778851840/photo/1'],405,3,379,2,
2022-09-22T18:13:44.000Z,tr,919185985132466176,"Bu yaşlı ve hasta insanların hepsi yıllardır cezaevinde!

Hiçbir hukuk devleti yaşlı ve ağır hastalara böyle muamele etmez. Daha fazla işkence etmeden ve yaşam haklarını ellerinden almadan bu insanları acilen tahliye etmelisiniz. @adalet_bakanlik @gulecyuzk

AdilYargı AdilKarar https://t.co/dxKEGaQA0A",['1573012688120209419'],False,Twitter for Android,1573012688120209419,everyone,[],['https://twitter.com/UyumluTris/status/1573012688120209419/photo/1'],338,1,306,3,
2022-09-22T10:11:35.000Z,tr,919185985132466176,"Elimizden ZULMÜ DUYURMAKTAN başka bir şey gelmiyor!

4 aylık hamile Sevda Ersoy doğmamış bebeğiyle 6 gün önce İzmir'de tutuklandı.

Kanuna göre hamile kadınlar tutuksuz yargılanır ve Sevda Ersoy tahliye edilmeli. @adalet_bakanlik

HamileAnneye AcilTahliye https://t.co/skx9QePXj2",['1572891348977725441'],False,Twitter for Android,1572891348977725441,everyone,[],['https://twitter.com/UyumluTris/status/1572891348977725441/photo/1'],214,4,206,1,
2022-09-21T18:02:33.000Z,tr,919185985132466176,"Daha önce cezaevinden tahliye edilen Tiroid Kanseri Gülden Aşık: 

""Karnımda ölü bebekle cezaevinde 3 hafta yaşadım ve ihmal sonucu 7 haftalık bebeğimi kaybettim.""

Tekrar tutuklanan Gülden Aşık'ı tedavi olması için tahliye etmelisiniz. @HudaKaya777 

HastalarHapiste AdaletNerede https://t.co/0aN5O2chiB",['1572647486359044097'],False,Twitter for Android,1572647486359044097,everyone,[],['https://twitter.com/UyumluTris/status/1572647486359044097/photo/1'],359,6,361,0,
